NumIters,Seconds,LearningRate,recons_error
0.0,1.186986,0.0001,5607.5
1000.0,269.200709,0.0001,102.584
2000.0,534.72523,0.0001,24.6215
3000.0,798.857597,0.0001,26.7492
4000.0,1063.1171,0.0001,16.0534
5000.0,1327.360931,0.0001,20.2212
6000.0,1592.869231,0.0001,25.0488
7000.0,1860.526879,0.0001,7.95634
8000.0,2125.829094,0.0001,27.2997
9000.0,2398.879262,0.0001,36.9686
10000.0,2667.204139,0.0001,126.406
11000.0,3046.84139,0.0001,22.3137
12000.0,3303.158623,0.0001,7.37833
13000.0,3572.522477,0.0001,11.7793
14000.0,3840.397105,0.0001,13.813
15000.0,4106.774674,0.0001,5.31738
16000.0,4372.817518,0.0001,19.5498
17000.0,4637.752265,0.0001,6.30836
18000.0,4903.623974,0.0001,13.6952
19000.0,5168.966939,0.0001,23.2626
20000.0,5434.075765,0.0001,9.88163
21000.0,5793.567072,0.0001,17.2737
22000.0,6040.146319,0.0001,7.80745
23000.0,6298.214419,0.0001,3.96884
24000.0,6564.874316,0.0001,5.98164
25000.0,6829.600204,0.0001,10.197
26000.0,7096.743465,0.0001,23.401
27000.0,7363.64061,0.0001,15.161
28000.0,7627.994679,0.0001,10.4834
29000.0,7895.263068,0.0001,26.9669
30000.0,8160.753672,0.0001,11.9784
31000.0,8531.091133,0.0001,6.96478
32000.0,8798.344455,0.0001,24.2437
33000.0,9050.162745,0.0001,51.8461
34000.0,9308.362902,0.0001,3.40641
35000.0,9570.08479,0.0001,7.47025
36000.0,9838.851709,0.0001,5.90434
37000.0,10102.635252,0.0001,10.737
38000.0,10384.965927,0.0001,10.1265
39000.0,10647.920674,0.0001,9.49567
40000.0,10913.969312,0.0001,12.0289
41000.0,11282.856629,0.0001,7.13719
42000.0,11537.654512,0.0001,5.50376
43000.0,11792.761715,0.0001,7.20041
44000.0,12058.797702,0.0001,7.32372
45000.0,12315.347564,0.0001,31.1377
46000.0,12568.857858,0.0001,3.69818
47000.0,12835.997864,0.0001,17.7637
48000.0,13099.13472,0.0001,2.03206
49000.0,13365.749332,0.0001,2.4016
50000.0,13631.596045,0.0001,8.33477
51000.0,13897.160923,0.0001,12.9823
52000.0,14262.792709,0.0001,8.19934
53000.0,14522.979512,0.0001,6.69201
54000.0,14779.327595,0.0001,14.3749
55000.0,15040.636751,0.0001,15.1138
56000.0,15297.196363,0.0001,15.8513
57000.0,15555.931633,0.0001,9.08694
58000.0,15815.952519,0.0001,7.24977
59000.0,16079.071565,0.0001,4.03095
60000.0,16341.984416,0.0001,5.26313
61000.0,16607.656024,0.0001,3.3734
62000.0,16976.799064,0.0001,12.8236
